Year | Année,NPRI ID | ID INRP,Company Name | Raison Sociale,Facility Name | Nom de l'installation,City | Ville,CSD | SDR,CA or CMA | AR ou RMR,Economic Region | Région économique,Province | Province,Latitude | Latitude,Longitude | Longitude,Substance Name (English) | Nom de substance (Anglais),Substance Name (French) | Nom de substance (Français),Units | Unités,<,Stack Emissions | Émissions de cheminées,<,Direct Discharge | Évacuations directes,Footnotes | Notes de bas de page
2020,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Tritium (HTO),Tritium (Eau tritiée),Bq,,3.10E+14,,5.70E+14,
2020,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Carbon-14,Carbone-14,Bq,,9.90E+11,,1.80E+09,
2020,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Total noble gases,Total des gaz nobles,Bq-MeV,,2.60E+13,,NRM | NRS,
2020,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Iodine-131,Iode-131,Bq,,2.90E+06,,NRM | NRS,
2020,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate (gross beta/gamma),Particules (bêta brutes/gamma brutes),Bq,,6.40E+06,,2.30E+09,
2020,7041,Bruce Power LP,Bruce Power - B,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Particulate gross alpha,Particules alpha brutes,Bq,,4.30E+04,<,LD,<LD = 0
2020,7041,Bruce Power LP,Bruce Power Site,Tiverton,Kincardine,,Stratford--Bruce Peninsula,ON,44.3289,-81.5916,Estimated public dose (see footnote),Dose estimée au public (voir note de bas de page),mSv/a,,0.0018,,NRM | NRS,Includes the entire Bruce site. Estimated public dose is calculated incorporating all major release pathways (emissions and discharges) | Comprend tout le site de Bruce. La dose estimée au public est calculée en utilisant toutes les principales voies de pénétration de rejet (émissions et rejets)
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Elemental Tritium (HT),Tritium élémentaire,Bq,,1.50E+13,,NRM | NRS,
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Tritium (HTO),Tritium (Eau tritiée),Bq,,1.90E+14,,1.20E+14,
2020,3163,Ontario Power Generation Inc.,Darlington Nuclear,Bowmanville,Clarington,Oshawa,Toronto,ON,43.8681,-78.725,Carbon-14,Carbone-14,Bq,,8.30E+11,,3.80E+08,
